source,target
SHMT2,FARS2
DLD,FARS2
MCCC2,FARS2
NDUFS1,FARS2
NDUFS3,FARS2
KRT8,FARS2
SDHA,FARS2
KARS,FARS2
TOP1,FARS2
HSD17B10,FARS2
NDUFA9,FARS2
ALDH1B1,FARS2
SLC25A1,FARS2
APOB,FARS2
ALDH2,FARS2
AFG3L2,FARS2
PCCB,FARS2
CPT2,FARS2
SLC25A18,FARS2
SLC25A10,FARS2
DHODH,NDUFS8
ABCC2,NDUFS8
NDUFS5,NDUFS8
NDUFB10,NDUFS8
NDUFV3,NDUFS8
NDUFB3,NDUFS8
NDUFC2,NDUFS8
MMAB,NDUFS8
GLDC,NDUFS8
FARS2,NDUFS8
AASS,NDUFS8
NDUFS2,NDUFS8
SUCLA2,NDUFS8
SHMT2,NDUFS8
CKB,NDUFS8
NDUFA4,NDUFS8
DLD,NDUFS8
MCCC2,NDUFS8
APRT,NDUFS8
NDUFS1,NDUFS8
NDUFS3,NDUFS8
SDHA,NDUFS8
KARS,NDUFS8
TOP1,NDUFS8
ANXA2,NDUFS8
HSD17B10,NDUFS8
GSTP1,NDUFS8
NDUFV2,NDUFS8
NDUFA9,NDUFS8
COMT,NDUFS8
ALDH1B1,NDUFS8
SLC25A1,NDUFS8
NDUFA5,NDUFS8
ALDH2,NDUFS8
AFG3L2,NDUFS8
PCCB,NDUFS8
NDUFS7,NDUFS8
CPT2,NDUFS8
SLC25A18,NDUFS8
SLC25A10,NDUFS8
NDUFA10,NDUFS8
ABCC3,NDUFS8
MMAB,AASS
GLDC,AASS
FARS2,AASS
NDUFS8,AASS
NDUFS2,AASS
SUCLA2,AASS
SHMT2,AASS
PLOD3,AASS
DLD,AASS
MCCC2,AASS
SARS,AASS
TOP2A,AASS
NDUFS1,AASS
NDUFS3,AASS
PSMB1,AASS
PSMB5,AASS
SDHA,AASS
KARS,AASS
TUBA4A,AASS
MARS,AASS
TOP1,AASS
HSD17B10,AASS
NDUFA9,AASS
ALDH1B1,AASS
SLC25A1,AASS
NDUFA5,AASS
TUBG1,AASS
HDAC1,AASS
HDAC2,AASS
ALDH2,AASS
ATP1A1,AASS
AFG3L2,AASS
PCCB,AASS
CPT2,AASS
SLC25A18,AASS
IDH3A,AASS
P4HA1,AASS
RAF1,AASS
BCR,AASS
SUCLG1,AASS
SLC25A10,AASS
ENPP1,NDUFS2
NDUFS5,NDUFS2
NDUFB10,NDUFS2
NDUFV3,NDUFS2
NDUFB3,NDUFS2
NDUFC2,NDUFS2
ADRB2,NDUFS2
MMAB,NDUFS2
GLDC,NDUFS2
FARS2,NDUFS2
NDUFS8,NDUFS2
AASS,NDUFS2
SUCLA2,NDUFS2
SHMT2,NDUFS2
ASPH,NDUFS2
ALDH3A2,NDUFS2
ALB,NDUFS2
PRKCI,NDUFS2
