,Drug IDs,NCBI_ID
1702,12848,2932
1703,958,246
1704,544,351
1705,317,247
1706,958,3028
1707,1229,3028
1708,1229,5965
1709,773,836
1710,544,7066
1711,1229,7066
1712,958,55775
1713,1229,641
1714,544,410
1715,317,4000
1716,544,4000
1717,1229,4000
1718,544,216
1719,958,216
1720,544,5376
1721,1229,5376
1722,1229,5999
1723,317,6714
1724,1229,6714
1725,1259,6714
1726,5220,6714
1727,5294,6714
1728,8865,6714
1729,8916,6714
1730,11663,6714
1731,11689,6714
1732,11805,6714
1733,12242,6714
1734,544,3725
1735,1259,3725
1736,958,51426
1737,544,9971
1738,1229,5300
1739,317,5347
1740,1254,5347
1741,1259,5347
1742,5220,5347
1743,5294,5347
1744,8865,5347
1745,8916,5347
1746,11663,5347
1747,11689,5347
1748,958,3248
1749,317,4137
1750,544,4137
1751,958,4137
1752,1259,3315
1753,1254,2744
1754,958,390245
1755,317,1445
1756,1259,1445
1757,5294,1445
1758,8865,1445
1759,8916,1445
1760,11663,1445
1761,11689,1445
1762,11805,1445
1763,12242,1445
1764,958,840
1765,1030,3091
1766,1229,3091
1767,773,213
1768,5482,213
1769,9074,213
1770,12015,213
1771,1229,6622
1772,544,3576
1773,1229,9099
1774,544,7157
1775,1229,7157
1776,12015,7157
1777,544,4154
1778,773,472
1779,12015,472
1780,361,4088
1781,1229,4088
1782,1254,4088
1783,544,3043
1784,317,238
1785,1254,238
1786,1259,238
1787,5220,238
1788,5294,238
